en	English
ceb	Sinugboanong Binisaya
sv	Svenska
de	Deutsch
fr	Français
nl	Nederlands
ru	Русский
it	Italiano
es	Español
war	Winaray
pl	Polski
vi	Tiếng Việt
ja	日本語
pt	Português
zh	中文
uk	Українська
fa	فارسی
sr	Српски / Srpski
ca	Català
ar	العربية
no	Norsk (Bokmål)
sh	Srpskohrvatski / Српскохрватски
fi	Suomi
hu	Magyar
id	Bahasa Indonesia
ko	한국어
cs	Čeština
ro	Română
ms	Bahasa Melayu
tr	Türkçe
eu	Euskara
eo	Esperanto
bg	Български
hy	Հայերեն
da	Dansk
zh-min-nan	Bân-lâm-gú
sk	Slovenčina
min	Minangkabau
kk	Қазақша
he	עברית
lt	Lietuvių
hr	Hrvatski
et	Eesti
ce	Нохчийн
sl	Slovenščina
be	Беларуская
gl	Galego
el	Ελληνικά
nn	Nynorsk
simple	Simple English
az	Azərbaycanca
uz	O‘zbek
la	Latina
ur	اردو
hi	हिन्दी
th	ไทย
vo	Volapük
ka	ქართული
ta	தமிழ்
cy	Cymraeg
tg	Тоҷикӣ
mk	Македонски
tl	Tagalog
mg	Malagasy
oc	Occitan
lv	Latviešu
ky	Кыргызча
bs	Bosanski
tt	Tatarça / Татарча
new	नेपाल भाषा
sq	Shqip
te	తెలుగు
pms	Piemontèis
zh-yue	粵語
br	Brezhoneg
be-x-old	Беларуская (тарашкевіца)
azb	تۆرکجه
ast	Asturianu
bn	বাংলা
ml	മലയാളം
ht	Krèyol ayisyen
jv	Basa Jawa
lb	Lëtzebuergesch
mr	मराठी
sco	Scots
af	Afrikaans
ga	Gaeilge
pnb	شاہ مکھی پنجابی (Shāhmukhī Pañjābī)
is	Íslenska
ba	Башҡорт
cv	Чăваш
fy	Frysk
su	Basa Sunda
sw	Kiswahili
my	မြန်မာဘာသာ
lmo	Lumbaart
an	Aragonés
yo	Yorùbá
ne	नेपाली
pa	ਪੰਜਾਬੀ
gu	ગુજરાતી
io	Ido
nds	Plattdüütsch
scn	Sicilianu
bpy	ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী
als	Alemannisch
bar	Boarisch
ku	Kurdî / كوردی
kn	ಕನ್ನಡ
ckb	Soranî / کوردی
ia	Interlingua
qu	Runa Simi
mn	Монгол
arz	مصرى (Maṣri)
bat-smg	Žemaitėška
gd	Gàidhlig
wa	Walon
nap	Nnapulitano
si	සිංහල
yi	ייִדיש
bug	Basa Ugi
am	አማርኛ
